Epoch #, Runtime, Train Loss, Val Loss, Comp Loss, 5 Step Loss, 15 Step Loss
10, 44.52729058265686, 6.198933744681784e-05, 6.337714714851603e-05, 6.47852184556541e-05, 0.0015659258476391966, 0.01436620977308069
20, 89.52571606636047, 7.584227670190158e-05, 7.624097036538616e-05, 7.657093192392495e-05, 0.0019940068803927197, 0.020901824813336134
30, 134.90432405471802, 2.585943470464175e-05, 2.570550289296489e-05, 2.5729289518494625e-05, 0.0006207274366585937, 0.005276593271576401
40, 180.84755301475525, 2.2183615065743482e-05, 2.2656499741502498e-05, 2.306694227627304e-05, 0.000526822624254107, 0.004526835783118648
50, 226.73706936836243, 1.8332694762595128e-05, 1.760182233149809e-05, 1.7376198115925945e-05, 0.00045827334854818346, 0.004261620866600424
60, 273.01898550987244, 3.364152475545492e-05, 3.353398227066015e-05, 3.4318997222726466e-05, 0.0007989349708493267, 0.006851461832411587
70, 319.3273618221283, 1.2223607675237256e-05, 1.277736306255137e-05, 1.226905715157045e-05, 0.00026649107011118237, 0.0019936006408118245
80, 365.68527126312256, 5.204798436008191e-05, 4.907907137735178e-05, 4.8624081046000356e-05, 0.0012797450285039044, 0.011315234770466174
90, 412.6169333457947, 1.6797994139885266e-05, 1.682887044728926e-05, 1.7700551325106062e-05, 0.0003960271039561901, 0.0034053574366095874
100, 459.95593881607056, 2.9039004846653004e-05, 3.018469051614812e-05, 3.083739488829451e-05, 0.0007431764887379748, 0.006978031247854233
110, 507.09670853614807, 8.0281408719396e-06, 8.379961792294391e-06, 8.361516393051716e-06, 0.0001776947512033595, 0.001316657809573891
120, 555.4274806976318, 6.294583090859348e-05, 6.318250865302742e-05, 6.442148060159525e-05, 0.001649660016742668, 0.016520386894366572
130, 602.8226363658905, 0.00035650686940195893, 0.00035436379421717316, 0.0003607878497859929, 0.009477563634780901, 0.09931028501263686
140, 651.1012136936188, 9.255422985634194e-05, 8.839506283685293e-05, 8.718635672266828e-05, 0.002295000952601965, 0.019982708484998772
150, 700.1757276058197, 0.00017101162472755007, 0.00017086741254876945, 0.00017341858620056883, 0.004188593568479908, 0.03476438957399556
160, 748.6503925323486, 2.0010727949440947e-05, 2.0519076614295503e-05, 2.092734371217375e-05, 0.00047775508573977277, 0.003798063536773303
170, 797.8257436752319, 4.193593581615923e-06, 4.4118895109704096e-06, 4.345821281503959e-06, 8.821226401778404e-05, 0.0006478529186486932
180, 847.1702260971069, 4.883313945010635e-05, 4.60338899563543e-05, 4.514660577115137e-05, 0.0012402840407698282, 0.011813825395490442
190, 896.7272853851318, 5.300494227829707e-06, 5.526383496837525e-06, 5.626394795399392e-06, 0.0001180943800136447, 0.000953926717297041
200, 946.4945220947266, 2.1157715570475562e-05, 1.9627856647759443e-05, 1.9672923258440278e-05, 0.0005397852032079495, 0.004963258480919259
210, 996.45987200737, 8.675697022333187e-06, 8.382890624009765e-06, 8.51898386144967e-06, 0.00020837424121314792, 0.0018480715849104204
220, 1047.1357941627502, 4.04711910736647e-06, 4.099044281014581e-06, 4.230687352446694e-06, 8.818105899471058e-05, 0.000704954399095316
230, 1097.462634563446, 6.016159608811398e-06, 6.2605540483731544e-06, 6.355937102853204e-06, 0.00012751295694865154, 0.0008916017333311694
